,,,,GENERAL SPECIFICATIONS,,,,,,,,,,,STRESSOR SPECIFICATIONS,,,,,,,,,,,,,,,RESPONSE 1 SPECIFICATIONS,,,,,,,,,,,,,,,,RESPONSE 2 SPECIFICATIONS,,,,,,,,,,,,,,,,RESPONSE 3 SPECIFICATIONS,,,,,,,,,,,,,,,,RESPONSE 4 SPECIFICATIONS,,,,,,,,,,,,,,,,RESPONSE 5 SPECIFICATIONS,,,,,,,,,,,,,,,,BINARY RESPONSES,,,,,,,,,,,,,,,,,,,,DATA AVAILABLE?,,,,"IF DATA AVAILABLE, EFFECT DETECTED?",,,,,,
RefID,Author(s),Exposure General Description,Exposure Duration or Timepoint,Coral age class,Current genus name,Current species name,Colony form,Ocean,Study location,Study site,Study type,Event date,Event latitude,Event longitude,Sediment composition,Sediment level,Sediment level UoM,Sediment level converted to mg/cm2/day,Sediment level converted to mg/L,Sediment level average type,Sediment N for computing average,Sediment N UoM,Sediment lower error estimate,Sediment upper error estimate,Sediment level error type,Sediment exposure duration,Sediment exposure duration UoM,Sediment exposure duration in days,Sediment notes,Response type,Response level,Unit of measurement,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate,Upper error estimate,Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,Response type,Response level,Unit of measurement,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate,Upper error estimate,Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,Response type,Response level,Unit of measurement,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate,Upper error estimate,Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,Response type,Response level,Unit of measurement,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate,Upper error estimate,Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,Response type,Response level,Unit of measurement,Average type,N for computing average,N UoM,"Lower error bound, if taken from Figure","Upper error bound, if taken from Figure",Lower error estimate,Upper error estimate,Error type,"Time to response, numeric","Time to response, UoM","Duration of response, numeric","Duration of response, UoM",Source of data,High yield/ chlA?,Hydrostatic inflation?,Tentacular activity?,Increased mucus?,Congealed sediment?,Shift from auto to heterotrophy?,Reduced P/R?,Reduced photosynthetic efficiency?,Reduced growth rate?,Reduced fertilization success?,Limited settlement?,Bleaching or reduced chl-a?,Algal overgrowth?,Smothering?,Reduced larval survival? (pre-settlement),Reduced recruit survival? (post-settlement),Small necroses?,Large necroses?,Death of colonies?,Binary Notes,Non-adverse effect reported?,Adverse effect reported?,Mortality reported?,Adult mortality reported?,Effect of sediment on coral?,Non-adverse effect of sediment?,Adverse effect of sediment?,Sediment-induced mortality?,Sediment-induced adult mortality?,Additional notes on study,Rationale for inclusion
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 4 of sediment exposure,n/a,adult,Montipora,stellata,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,4,d,4,p 180 of Methods,Tissue mortality rate,12.5,% necrosis,mean,4,colonies,1.4,23.6,11.1,11.1,n/r,4,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,4,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,1,NA,1,1,1,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 5 of sediment exposure,n/a,adult,Montipora,stellata,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,5,d,5,p 180 of Methods,Tissue mortality rate,17.4,% necrosis,mean,4,colonies,5.6,29.2,11.8,11.8,n/r,5,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,5,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,1,NA,1,1,1,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 6 of sediment exposure,n/a,adult,Montipora,stellata,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,6,d,6,p 180 of Methods,Tissue mortality rate,16.7,% necrosis,mean,4,colonies,4.9,28.5,11.8,11.8,n/r,6,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,6,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,1,NA,1,1,1,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 7 of sediment exposure,n/a,adult,Montipora,stellata,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,7,d,7,p 180 of Methods,Tissue mortality rate,16.7,% necrosis,mean,4,colonies,4.9,28.5,11.8,11.8,n/r,7,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,7,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,1,NA,1,1,1,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 0 - pre-sediment exposure,n/a,adult,Seriatopora,hystrix,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",0,mg/cm2,0,n/a,n/r,n/r,n/r,n/r,n/r,n/r,0,d,0,p 180 of Methods,Tissue mortality rate,0.0,% necrosis,mean,4,colonies,0.0,0.0,0.0,0.0,n/r,0,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,0,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,0,NA,0,0,0,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 1 of sediment exposure,n/a,adult,Seriatopora,hystrix,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,1,d,1,p 180 of Methods,Tissue mortality rate,0.0,% necrosis,mean,4,colonies,0.0,0.0,0.0,0.0,n/r,1,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,1,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,0,NA,0,0,0,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 2 of sediment exposure,n/a,adult,Seriatopora,hystrix,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,2,d,2,p 180 of Methods,Tissue mortality rate,0.0,% necrosis,mean,4,colonies,0.0,0.0,0.0,0.0,n/r,2,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,2,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,0,NA,0,0,0,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 3 of sediment exposure,n/a,adult,Seriatopora,hystrix,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,3,d,3,p 180 of Methods,Tissue mortality rate,0.0,% necrosis,mean,4,colonies,0.0,0.0,0.0,0.0,n/r,3,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,3,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,0,NA,0,0,0,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 4 of sediment exposure,n/a,adult,Seriatopora,hystrix,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,4,d,4,p 180 of Methods,Tissue mortality rate,0.0,% necrosis,mean,4,colonies,0.0,0.0,0.0,0.0,n/r,4,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,4,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,0,NA,0,0,0,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 5 of sediment exposure,n/a,adult,Seriatopora,hystrix,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,5,d,5,p 180 of Methods,Tissue mortality rate,6.1,% necrosis,mean,4,colonies,-0.7,12.9,6.8,6.8,n/r,5,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,5,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,1,NA,1,1,1,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 6 of sediment exposure,n/a,adult,Seriatopora,hystrix,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,6,d,6,p 180 of Methods,Tissue mortality rate,6.1,% necrosis,mean,4,colonies,-0.7,12.9,6.8,6.8,n/r,6,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,6,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,1,NA,1,1,1,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 7 of sediment exposure,n/a,adult,Seriatopora,hystrix,ramose,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,7,d,7,p 180 of Methods,Tissue mortality rate,6.1,% necrosis,mean,4,colonies,-0.7,12.9,6.8,6.8,n/r,7,d,n/a,n/a,Fig. 4.2 with Datathief,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,7,d,n/a,n/a,Fig. 4.2 with Datathief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,1,NA,1,1,1,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 7 of sediment exposure,n/a,adult,Euphyllia,ancora,flabellate,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,7,d,7,p 180 of Methods,Tissue mortality rate,0.0,% necrosis,mean,4,colonies,0.0,0.0,0.0,0.0,n/r,7,d,n/a,n/a,Results text,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,7,d,n/a,n/a,Results text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,0,NA,0,0,0,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 7 of sediment exposure,n/a,adult,Favia,speciosa,massive,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,7,d,7,p 180 of Methods,Tissue mortality rate,0.0,% necrosis,mean,4,colonies,0.0,0.0,0.0,0.0,n/r,7,d,n/a,n/a,Results text,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,7,d,n/a,n/a,Results text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,0,NA,0,0,0,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 7 of sediment exposure,n/a,adult,Galaxea,fascicularis,phaceloid,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,7,d,7,p 180 of Methods,Tissue mortality rate,0.0,% necrosis,mean,4,colonies,0.0,0.0,0.0,0.0,n/r,7,d,n/a,n/a,Results text,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,7,d,n/a,n/a,Results text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,0,NA,0,0,0,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
DS08b,Hodgson (1989) PhD Chapter IV - lab component,Day 7 of sediment exposure,n/a,adult,Goniopora,tenuidens,massive,Pacific,"El Nido, Palawan Islands, Philippines",Laboratory,manipulative,n/a,n/a,n/a,"washed, dried, marine-origin sediment",40,mg/cm2,40,n/a,n/r,n/r,n/r,n/r,n/r,n/r,7,d,7,p 180 of Methods,Tissue mortality rate,0.0,% necrosis,mean,4,colonies,0.0,0.0,0.0,0.0,n/r,7,d,n/a,n/a,Results text,Colony mortality,0,% whole colony mortality,raw,4,colonies,n/a,n/a,n/a,n/a,n/a,7,d,n/a,n/a,Results text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"based on Fig. 4.2 and Results text (<50% tissue mortality = small necroses, >=50% tissue mortality = large necroses, >0% colony mortality = death of colonies); NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures",0,1,1,1,0,NA,0,0,0,"taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures","taxonomically diverse study that quantified the effect of one dosage and type of sediment on the partial/total mortality of 22 scleractinian species; not many other details given; NOTE: NO CONTROL (lack of sediment) treatment to compare to, only time-0 (pre-exposure) to compare to repeated measures"
